experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T09:29:53.408Z,29.85,2025-09-19 11:29:53.408,10.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T09:33:13.408Z,30.05,2025-09-19 11:33:13.408,10.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T09:36:33.407Z,30.11,2025-09-19 11:36:33.407,10.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T09:39:53.407Z,29.86,2025-09-19 11:39:53.407,10.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T09:43:13.408Z,30.04,2025-09-19 11:43:13.408,10.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T09:46:33.406Z,29.99,2025-09-19 11:46:33.406,10.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T09:49:53.408Z,30.04,2025-09-19 11:49:53.408,10.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T09:53:13.407Z,29.98,2025-09-19 11:53:13.407,10.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T09:56:33.408Z,30.19,2025-09-19 11:56:33.408,10.6225
Long Yeast Grow,pioreactor02,2025-09-19T09:59:53.409Z,29.96,2025-09-19 11:59:53.409,10.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T10:03:13.408Z,30.06,2025-09-19 12:03:13.408,10.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T10:06:33.408Z,29.86,2025-09-19 12:06:33.408,10.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T10:09:53.410Z,29.76,2025-09-19 12:09:53.410,10.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T10:13:13.408Z,30.03,2025-09-19 12:13:13.408,10.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T10:16:33.408Z,29.94,2025-09-19 12:16:33.408,10.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T10:19:53.409Z,30.11,2025-09-19 12:19:53.409,11.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T10:23:13.406Z,29.97,2025-09-19 12:23:13.406,11.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T10:26:33.407Z,30.12,2025-09-19 12:26:33.407,11.1225
Long Yeast Grow,pioreactor02,2025-09-19T10:29:53.408Z,29.85,2025-09-19 12:29:53.408,11.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T10:33:13.409Z,30.04,2025-09-19 12:33:13.409,11.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T10:36:33.409Z,30.02,2025-09-19 12:36:33.409,11.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T10:39:53.406Z,30.12,2025-09-19 12:39:53.406,11.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T10:43:13.408Z,29.93,2025-09-19 12:43:13.408,11.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T10:46:33.406Z,30.2,2025-09-19 12:46:33.406,11.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T10:49:53.408Z,29.86,2025-09-19 12:49:53.408,11.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T10:53:13.407Z,29.97,2025-09-19 12:53:13.407,11.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T10:56:33.407Z,30.16,2025-09-19 12:56:33.407,11.6225
